GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000009765.2	3140618	GCF_000009765.2	3192468	
GCA_000010605.1	11408	GCF_000010605.1	32088	
GCA_000091305.1	111938	GCF_000091305.1	163818	
GCA_000092385.1	113018	GCF_000092385.1	354548	
GCA_000147815.3	300768	GCF_000147815.2	301138	
GCA_000148465.1	171668	GCF_000148465.1	251348	
GCA_000154885.1	180718	GCF_000154885.1	180738	
GCA_000154905.1	180758	GCF_000154905.1	180778	
GCA_000154925.1	180798	GCF_000154925.1	180818	
GCA_000154945.1	180838	GCF_000154945.1	180858	
GCA_000154965.1	180878	GCF_000154965.1	180898	
GCA_000156435.1	183778	GCF_000156435.1	183798	
GCA_000156455.1	183818	GCF_000156455.1	183838	
GCA_000156475.1	183858	GCF_000156475.1	183878	
GCA_000156695.2	1141788	GCF_000156695.2	1356448	
GCA_000158855.1	188598	GCF_000158855.1	239558	
GCA_000158875.1	188618	GCF_000158875.1	239578	
GCA_000158895.1	188638	GCF_000158895.1	239598	
GCA_000158915.1	188658	GCF_000158915.1	239618	
GCA_000158935.1	188678	GCF_000158935.1	188698	
GCA_000158955.1	188718	GCF_000158955.1	239638	
GCA_000158975.1	188738	GCF_000158975.1	239658	
GCA_000162775.1	196278	GCF_000162775.1	196298	
GCA_000163875.1	198458	GCF_000163875.1	198478	
GCA_000177175.2	250988	GCF_000177175.2	251268	
GCA_000177195.2	301198	GCF_000177195.2	301218	
GCA_000179195.1	226138	GCF_000179195.1	240288	
GCA_000179215.1	226158	GCF_000179215.1	240308	
GCA_000204605.2	277218	GCF_000204605.1	277238	
GCA_000213055.1	282028	GCF_000213055.1	282868	
GCA_000220705.2	4997248	GCF_000220705.2	5011938	
GCA_000225525.2	303238	GCF_000225525.1	303258	
GCA_000226455.1	305808	GCF_000226455.1	366178	
GCA_000237305.1	320038	GCF_000237305.1	324608	
GCA_000239075.2	323908	GCF_000239075.1	323928	
GCA_000240165.1	322848	GCF_000240165.1	376848	
GCA_000242715.2	345248	GCF_000242715.1	398908	
GCA_000245355.1	332148	GCF_000245355.1	379038	
GCA_000253235.1	362948	GCF_000253235.1	441368	
GCA_000258595.1	369218	GCF_000258595.1	443718	
GCA_000259895.1	373758	GCF_000259895.1	648078	
GCA_000261345.2	2755258	GCF_000261345.2	2770498	
GCA_000262345.1	379438	GCF_000262345.1	616998	
GCA_000269985.1	388958	GCF_000269985.1	392018	
GCA_000280865.2	26438178	GCF_000280865.2	26688878	
GCA_000280905.1	401748	GCF_000280905.1	648378	
GCA_000297155.3	21807978	GCF_000297155.3	21828098	
GCA_000297635.1	424968	GCF_000297635.1	648938	
GCA_000299175.2	5705898	GCF_000299175.2	5714568	
GCA_000302615.1	438468	GCF_000302615.1	621238	
GCA_000316095.1	503108	GCF_000316095.1	615758	
GCA_000317595.1	504328	GCF_000317595.1	513778	
GCA_000331005.1	521908	GCF_000331005.1	525768	
GCA_000331185.2	25687838	GCF_000331185.2	25716578	
GCA_000332625.1	526738	GCF_000332625.1	530868	
GCA_000340335.2	581688	GCF_000340335.1	581708	
GCA_000340845.1	540678	GCF_000340845.1	567028	
GCA_000342125.1	552028	GCF_000342125.1	556528	
GCA_000342345.1	552308	GCF_000342345.1	556428	
GCA_000349325.1	561808	GCF_000349325.1	562028	
GCA_000359525.1	582108	GCF_000359525.1	588308	
GCA_000364805.1	588548	GCF_000364805.1	589778	
GCA_000367365.1	591828	GCF_000367365.1	640518	
GCA_000372745.1	603118	GCF_000372745.1	635238	
GCA_000373225.1	603378	GCF_000373225.1	635758	
GCA_000373305.1	603418	GCF_000373305.1	635838	
GCA_000373405.1	603468	GCF_000373405.1	635938	
GCA_000373525.1	603528	GCF_000373525.1	688898	
GCA_000373565.1	603548	GCF_000373565.1	636018	
GCA_000373585.1	603558	GCF_000373585.1	636038	
GCA_000373625.1	603578	GCF_000373625.1	636078	
GCA_000373645.1	603588	GCF_000373645.1	636098	
GCA_000373665.1	603598	GCF_000373665.1	636118	
GCA_000373685.1	603608	GCF_000373685.1	636138	
GCA_000375625.1	597878	GCF_000375625.1	632618	
GCA_000375725.1	597978	GCF_000375725.1	632658	
GCA_000376565.1	598848	GCF_000376565.1	640538	
GCA_000380165.1	603128	GCF_000380165.1	635258	
GCA_000381025.1	606968	GCF_000381025.1	649998	
GCA_000382745.1	607938	GCF_000382745.1	665858	
GCA_000383595.1	610898	GCF_000383595.1	667238	
GCA_000383615.1	610908	GCF_000383615.1	667258	
GCA_000383635.1	610918	GCF_000383635.1	667278	
GCA_000383655.1	610928	GCF_000383655.1	667298	
GCA_000383935.1	610618	GCF_000383935.1	665798	
GCA_000384175.1	610478	GCF_000384175.1	665158	
GCA_000385945.1	643538	GCF_000385945.1	653838	
